1,Leighton Baker
2,Elliot Ikilei
3,Victoria O'Brien
4,Lachie Ashton
5,Fiona Mackenzie
6,Helen Houghton
7,Bernadette Soares
8,Alan T?ne Solomon
9,Dieuwe de Boer
10,Roger Earp
11,Deborah Burnside
12,Mike Brewer
13,Murray Chong
14,Helena Nickerson
15,Paul Hignett
16,Lee Smith
17,Bruce Welsh
18,Fuiavailili Ala'ilima
19,Bronnie Lyell
20,Martin Frauenstein
21,Benjamin Price
22,Margaret Colmore
23,Jonathan Marshall
24,Warren Butterworth
